#,Team,M,W,D,L,GF,GA,Dif,Points,GPM,GAPM
1,Manchester City,19,15,2,2,50,12,38,47,2.63,0.63
2,Liverpool FC,19,13,5,1,56,15,41,44,2.95,0.79
3,Chelsea FC,19,12,5,2,42,13,29,41,2.21,0.68
4,Arsenal FC,19,11,2,6,32,23,9,35,1.68,1.21
5,Tottenham Hotspur,19,11,2,6,26,22,4,35,1.37,1.16
6,Manchester United,19,10,4,5,32,26,6,34,1.68,1.37
7,West Ham United,19,9,4,6,32,24,8,31,1.68,1.26
8,Wolverhampton Wanderers,19,8,4,7,17,14,3,28,0.89,0.74
9,Crystal Palace,19,5,8,6,28,28,0,23,1.47,1.47
10,Leicester City,19,6,5,8,33,37,-4,23,1.74,1.95
11,Aston Villa,19,7,2,10,25,29,-4,23,1.32,1.53
12,Brighton & Hove Albion,19,5,8,6,16,21,-5,23,0.84,1.11
13,Southampton FC,19,5,8,6,23,29,-6,23,1.21,1.53
14,Brentford FC,19,5,5,9,23,31,-8,20,1.21,1.63
15,Everton FC,19,5,5,9,24,33,-9,20,1.26,1.74
16,Burnley FC,19,3,10,6,19,24,-5,19,1.00,1.26
17,Leeds United,19,3,7,9,18,42,-24,16,0.95,2.21
18,Watford FC,19,4,2,13,22,39,-17,14,1.16,2.05
19,Newcastle United,19,1,8,10,19,42,-23,11,1.00,2.21
20,Norwich City,19,2,4,13,8,41,-33,10,0.42,2.16
